,abbreviation,alt_color,color,conference,division,logos,mascot,school
0,ACU,#ebebeb,#4e2683,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2000.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2000.png']",Wildcats,Abilene Christian
1,ADST,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2001.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2001.png']",Grizzlies,Adams State
2,ADR,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2003.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2003.png']",Bulldogs,Adrian
3,AFA,#ffffff,#004a7b,Mountain West,Mountain,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2005.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2005.png']",Falcons,Air Force
4,AKR,#84754e,#00285e,Mid-American,East,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2006.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2006.png']",Zips,Akron
5,ALA,#f1f2f3,#690014,SEC,West,"['http://a.espncdn.com/i/teamlogos/ncaa/500/333.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/333.png']",Crimson Tide,Alabama
6,AAMU,#ffffff,#790000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2010.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2010.png']",Bulldogs,Alabama A&M
7,ALST,#0a0a0a,#e9a900,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2011.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2011.png']",Hornets,Alabama State
8,ALBY,#ffffff,#3D2777,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/399.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/399.png']",Great Danes,Albany
9,ALB,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2013.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2013.png']",Golden Rams,Albany State (GA)
10,ALBI,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2790.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2790.png']",Britons,Albion
11,ALB,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2015.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2015.png']",Lions,Albright
12,ALCN,#46166a,#4b0058,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2016.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2016.png']",Braves,Alcorn State
